mode, epoch, average loss, defender utility,
training,13,0.234920703,-1.012638124,0
validating,13,0.236570978,-1.010343517,0
testing,13,0.212010926,-1.104608172,0
training,14,0.235695206,-1.012788116,0
validating,14,0.24091506,-0.976125832,0
testing,14,0.210014874,-1.049511716,0
training,15,0.233761495,-0.986602637,0
validating,15,0.254640317,-0.968061155,0
testing,15,0.21701296,-1.051375316,0
training,16,0.227538487,-1.010419867,0
validating,16,0.240395069,-0.97325723,0
testing,16,0.206890398,-1.050362717,0
training,17,0.22740859,-1.001084427,0
validating,17,0.233375764,-0.994112165,0
testing,17,0.204044056,-1.067450261,0
training,18,0.225402114,-1.017762533,0
validating,18,0.234770751,-0.979957919,0
testing,18,0.202532828,-1.050872497,0
training,19,0.221720938,-1.006388727,0
validating,19,0.241907263,-0.970383972,0
testing,19,0.204532611,-1.050239033,0
mode, epoch, average loss, defender utility,
training,-1,0.015292531,-0.734147338,0
validating,-1,0.024969328,-1.207998264,0
testing,-1,0.011599608,-0.671468897,0
training,0,1.576895162,-4.91115051,0
validating,0,1.537718511,-4.942360497,0
testing,0,1.567743063,-4.916611958,0
training,1,1.54731667,-4.866465964,0
validating,1,1.379737329,-4.703209782,0
testing,1,1.398301542,-4.727300644,0
training,2,0.926897028,-3.810685737,0
validating,2,0.228568469,-2.601854062,0
testing,2,0.275453601,-1.570676854,0
training,3,0.157504664,-1.426048799,0
validating,3,0.024477235,-1.019566333,0
testing,3,0.082827192,-0.876324248,0
training,4,0.080578855,-0.996086901,0
validating,4,0.018805395,-1.04429903,0
testing,4,0.062055201,-0.797944701,0
training,5,0.065359306,-0.915561791,0
validating,5,0.019453587,-1.158130288,0
testing,5,0.048899555,-0.742722249,0
training,6,0.056326062,-0.900193219,0
validating,6,0.022167086,-1.207404387,0
testing,6,0.039055826,-0.673406625,0
training,7,0.049900292,-0.881816887,0
validating,7,0.024673,-1.207359785,0
testing,7,0.033208299,-0.671745467,0
training,8,0.045375169,-0.879197382,0
validating,8,0.026629275,-1.20734362,0
testing,8,0.026067964,-0.65708531,0
training,9,0.040869079,-0.874965433,0
validating,9,0.028339133,-1.208990544,0
testing,9,0.022688237,-0.640334343,0
training,10,0.037982366,-0.860881234,0
validating,10,0.029986686,-1.211599529,0
testing,10,0.018048362,-0.628737502,0
training,11,0.035255073,-0.864316482,0
validating,11,0.032967579,-1.235040593,0
testing,11,0.015129054,-0.621604305,0
training,12,0.033787475,-0.857387772,0
validating,12,0.031414804,-1.219174802,0
testing,12,0.014507315,-0.625337154,0
training,13,0.032613349,-0.852332419,0
validating,13,0.033339913,-1.233303016,0
testing,13,0.011936816,-0.620218788,0
training,14,0.031724154,-0.851003258,0
validating,14,0.03425024,-1.241560417,0
testing,14,0.010911209,-0.616279644,0
training,15,0.031294248,-0.853291382,0
validating,15,0.034752956,-1.244979453,0
testing,15,0.010190314,-0.615579225,0
training,16,0.030820015,-0.849117332,0
validating,16,0.034439621,-1.241071272,0
testing,16,0.010233414,-0.616000578,0
training,17,0.030795002,-0.849179186,0
validating,17,0.034070149,-1.236791819,0
testing,17,0.010314417,-0.616180928,0
training,18,0.030768163,-0.849218091,0
validating,18,0.034253005,-1.238476968,0
testing,18,0.010192408,-0.615682682,0
training,19,0.030702794,-0.849292974,0
validating,19,0.034122276,-1.236933374,0
testing,19,0.010195644,-0.615749904,0
